County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Falls,7,"5,575","1,991","1,713",278,"14,049","3,226",328,187,"5,671",,,
Fannin,2/3,"8,375","4,503","3,170","1,333","28,874","6,588",962,614,"10,987",,,
Fayette,7,"1,400","2,671","2,129",542,"20,879","6,679",998,647,"6,844",,,
Fisher,2/3,600,406,349,57,"3,088",961,101,28,"1,061",,,
Floyd,1,600,"1,022",743,279,"4,371","1,070",132,68,"1,723",,,
Foard,2/3,400,521,390,131,962,315,7,80,332,,,
Fort Bend,6/5S,"97,850","118,222","87,257","30,965","616,413","93,851","24,721","4,977","175,581",,,
Franklin,4/5N,900,872,606,266,"8,554","2,367",169,163,"2,871",,,
Freestone,7,"1,200","1,212",868,344,"15,808","3,996",553,261,"6,319",,,
Frio,8,"3,475","2,705","1,961",744,"16,121","2,499",186,166,"6,797",,,
Gaines,9/10,"1,400","1,471",917,554,"14,548","1,907",323,95,"6,156",,,
Galveston,6/5S,"56,950","57,482","40,019","17,463","269,280","50,987","11,784","2,830","96,486",,,
Garza,1,400,431,356,75,"5,325",719,33,75,"2,197",,,
Gillespie,8,"6,700","4,752","3,856",896,"22,307","8,110","1,175",706,"6,815",,,
Glasscock,9/10,0,284,263,21,"1,099",210,23,0,426,,,
Goliad,8,200,"1,172",949,223,"6,281","1,832",39,135,"2,282",,,
Gonzales,8,"1,700","2,324","1,641",683,"15,937","3,572",550,256,"6,356",,,
Gray,1,"1,400","2,578","1,729",849,"16,924","3,531",689,315,"6,978",,,
Grayson,2/3,"24,100","15,122","10,470","4,652","107,521","24,182","9,338","2,131","40,586",,,
Gregg,4/5N,"23,800","13,513","10,252","3,261","95,544","19,451","7,025","2,324","37,362",,,
Grimes,7,"1,400","2,090","1,596",494,"23,245","5,134",234,311,"9,653",,,
Guadalupe,8,"16,625","15,617","11,828","3,789","130,517","23,614","3,801","1,225","49,282",,,
Hale,1,"3,300","4,109","2,778","1,331","25,476","4,604",873,399,"10,561",,,
Hall,1,0,703,561,142,"2,406",711,27,72,978,,,
Hamilton,7,"1,800","2,376","1,810",566,"6,832","2,146",481,296,"2,427",,,
Hansford,1,700,880,642,238,"3,987",812,139,84,"1,616",,,
Hardeman,2/3,"1,000","1,136",779,357,"3,190",912,102,16,"1,146",,,
Hardin,6/5S,"5,400","6,301","4,812","1,489","45,112","9,762","1,003",527,"16,190",,,
Harris,6/5S,"759,025","565,807","399,072","166,735","3,601,939","514,167","225,769","27,623","1,408,024",,,
